P|AGOP6A|27L|AGOPA|0|7
S|PG271|49016889|2444111|BT|CF|0|26400|260|34920|300|0|0|0|0|0|0|0|0
S|PG272|49012333|2361333| |TF|0|0|0|0|0|0|0|0|0|1|0|0|0
S|PG280|49038306|2146639|BT|CF|0|27300|1280|28650|800|0|0|0|0|1|0|0|0
S|RBT|48653944|1994222| |DF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|RBT|48653944|1994222| |IF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|ADADA|48295000|2003611| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|AGOPA|48083333|2009722| |TF|0|0|0|0|0|280|0|0|0|0|0|0|0

P|AGOP6A|27R|AGOPA|0|8
S|DE27R|49024719|2524892| |DF|0|0|0|0|0|0|0|0|0|1|0|0|0
S|PG271|49016889|2444111|BT|CF|0|26100|260|34920|200|0|0|0|0|0|0|0|0
S|PG272|49012333|2361333| |TF|0|0|0|0|0|0|0|0|0|1|0|0|0
S|PG280|49038306|2146639|BT|CF|0|27300|1280|28650|800|0|0|0|0|1|0|0|0
S|RBT|48653944|1994222| |DF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|RBT|48653944|1994222| |IF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|ADADA|48295000|2003611| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|AGOPA|48083333|2009722| |TF|0|0|0|0|0|280|0|0|0|0|0|0|0

P|AGOP6B|26L|AGOPA|0|8
S|DE26L|48992914|2565661| |DF|0|0|0|0|0|0|0|0|0|1|0|0|0
S|PG263|48990944|2464889|BT|CF|0|26700|110|2050|300|0|0|0|0|0|0|0|0
S|PG264|48984389|2346389| |TF|0|0|0|0|0|0|0|0|0|1|0|0|0
S|PG264|48984389|2346389| |IF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|PG268|48964528|1997972| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|RBT|48653944|1994222| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|ADADA|48295000|2003611| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|AGOPA|48083333|2009722| |TF|0|0|0|0|0|280|0|0|0|0|0|0|0

P|AGOP6B|26R|AGOPA|0|7
S|PG263|48990944|2464889|BT|CF|0|26400|110|2050|400|0|0|0|0|0|0|0|0
S|PG264|48984389|2346389| |TF|0|0|0|0|0|0|0|0|0|1|0|0|0
S|PG264|48984389|2346389| |IF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|PG268|48964528|1997972| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|RBT|48653944|1994222| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|ADADA|48295000|2003611| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|AGOPA|48083333|2009722| |TF|0|0|0|0|0|280|0|0|0|0|0|0|0

P|AGOP6D|27L|AGOPA|0|7
S|PG271|49016889|2444111|BT|CF|0|26400|260|34920|300|0|0|0|0|0|0|0|0
S|PG272|49012333|2361333| |TF|0|0|0|0|0|0|0|0|0|1|0|0|0
S|PG280|49038306|2146639|BT|CF|0|27300|1280|28650|800|0|0|0|0|1|0|0|0
S|RBT|48653944|1994222| |DF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|RBT|48653944|1994222| |IF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|ADADA|48295000|2003611| |TF|0|0|0|0|0|0|0|0|0|0|0|0|0
S|AGOPA|48083333|2009722| |TF|0|0|0|0|0|280|0|0|0|0|0|0|0

P|AGOP6D|27R|AGOPA|0|8
S|DE27R|49024719|2524892| |DF|0|0|0|0|0|0|0|0|0|1|0|0|0
