AC|ANLOC|320000|0|0|195|10939167|107188333|66|VV
AC|NAPOLEON BONAPARTE|110300|0|1|195|41914889|8798611|55|LF
ACA|ACAPULCO|115900|1|1|195|16758472|-99753964|12|MM
ACC|ACCRA|113100|1|1|195|5634069|-155364|258|DG
ACH|ANTON CHICO|117800|1|1|195|35111706|-105039928|5450|K2
ACJ|SOUTHER AMERICUS|242000|0|0|195|32112108|-84186853|0|K7
ACK|NANTUCKET|116200|1|1|195|41281875|-70026703|77|K6
ACO|AKRON|114400|1|1|195|41107903|-81201519|1197|K5
ACT|WACO|115300|1|1|195|31662231|-97269014|507|K4
ACV|ARCATA|115050|1|1|195|40981442|-124108317|194|K2
ACY|ATLANTIC CITY|117150|1|1|195|39455875|-74576314|67|K6
AD|ADELAIDE|116400|1|1|195|-34946972|138524528|35|YM
AD|ABIDJAN|114300|1|1|195|5282817|-3916978|46|DI
AD|ADEN|361000|0|0|195|12870278|45005556|0|OY
AD|TOUAT CHEIKH SIDI MOHAMED BELK|109700|0|1|195|27830058|-195192|974|DA
AD|SOCHI|365000|0|0|195|43454778|39960778|165|UR
AD|KRALJEVO|387000|0|0|195|43754417|20664278|0|LY
AD|SHEREMETYEVO MOSCOW|700000|0|0|195|55980556|37458972|0|UU
AD|ANDA|108300|0|1|195|61829447|6111647|228|EN
AD|ANDA|288000|0|0|195|61829567|6115939|0|EN
ADA|ALDEIA SAO PEDRO DA|112100|1|1|195|-22812775|-42095339|57|SB
ADA|AL-MASSIRA|110300|0|1|195|30320944|-9398361|295|GM
ADA|ADANA|112700|1|1|195|36940583|35210389|69|LT
ADG|ADRIAN|278000|0|0|195|41869986|-84077481|799|K5
ADK|MOUNT MOFFETT|114000|0|1|195|51871075|-176674275|329|PA
ADK|MOUNT MOFFETT|530000|0|0|195|51871878|-176675989|329|PA
ADL|SOCHI|112700|1|1|195|43454472|39962111|128|UR
ADM|AL-MASSIRA AGADIR|117200|1|1|195|30321917|-9383472|295|GM
ADM|ARDMORE|116700|1|1|195|34211586|-97168228|937|K4
ADM|ADAMCLISI|111600|0|1|195|44090278|27960833|700|LR
ADN|ROBERTO MONTERRY|115400|1|1|195|25865442|-100238794|1493|MM
ADN|ADANA|395000|0|0|195|36970889|35261611|0|LT
ADN|ABERDEEN|114300|1|1|195|57310450|-2267247|610|EG
ADR|ADRAR|112600|1|1|195|27820333|-202758|952|DA
ADS|ADDIS ABABA|112900|1|1|195|8975042|38799400|7658|HA
ADV|ABU DHABI|114250|1|1|195|24418964|54673244|109|OM
ADV|ADVENT SVALBARD|326000|0|0|195|78176808|16012508|0|EN
ADW|ANDREWS CAMP SPRINGS|113100|1|1|195|38807219|-76866256|263|K6
ADX|ANDRAITX|384000|0|0|195|39549444|2395861|0|LE
AE|JORGE NEWBERY AEROPARQUE|109500|0|1|195|-34556197|-58423192|15|SA
AE|ABECHE|114500|1|0|195|13846633|20863050|0|FT
AE|DUDLE ALBUQUERQUE|351000|0|0|195|35217400|-106712800|5455|K2
